id,name,now_cost,position,team,news,corners_and_indirect_freekicks_order,yellow_cards,ict_index_rank_type,red_cards,expected_assists,influence_rank,now_cost_rank,selected_rank,form_rank_type,creativity_rank,expected_goals_per_90,expected_assists_per_90,threat_rank,bps,ict_index,now_cost_rank_type,web_name,influence_rank_type,saves,clean_sheets_per_90,influence,creativity,goals_conceded_per_90,ep_next,saves_per_90,direct_freekicks_order,minutes,selected_rank_type,expected_goals_conceded,news_added,value_season,expected_goals,bonus,chance_of_playing_next_round,own_goals,threat,goals_scored,expected_goals_conceded_per_90,total_points,goals_conceded,expected_goal_involvements,points_per_game_rank,assists,threat_rank_type,starts,points_per_game_rank_type,status,clean_sheets,expected_goal_involvements_per_90,penalties_missed,penalties_saved,selected_by_percent,starts_per_90,points_per_game,creativity_rank_type,ict_index_rank,penalties_order,form_rank
135,João Pedro Junqueira de Jesus,55,FWD,Brighton,,,0,74,0,0.00,632,143,17,52,632,0.0,0.0,632,0,0.0,38,João Pedro,74,0,0.0,0.0,0.0,0.0,2.3,0.0,,0,3,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,632,0,74,0,74,a,0,0.0,0,0,20.3,0.0,0.0,74,632,1.0,556
136,Michał Karbownik,40,DEF,Brighton,Permanent transfer to Hertha BSC,,0,168,0,0.00,449,617,472,46,442,0.0,0.0,427,0,0.0,196,Karbownik,168,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,180,0.00,2023-08-09T08:35:32.699094Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,458,0,166,0,169,u,0,0.0,0,0,0.1,0.0,0.0,168,452,,84
137,Kacper Kozłowski,45,MID,Brighton,Joined vitesse on a season long loan,,0,219,0,0.00,549,500,631,56,547,0.0,0.0,543,0,0.0,252,Kozłowski,218,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,265,0.00,2023-07-20T08:40:22.941077Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,553,0,219,0,221,u,0,0.0,0,0,0.0,0.0,0.0,219,551,,306
138,Adam Lallana,50,MID,Brighton,,,0,113,0,1.22,277,151,451,79,156,0.11,0.15,176,146,48.5,95,Lallana,119,0,0.63,144.2,186.7,1.26,2.1,0.0,,717,152,10.59,,9.4,0.88,4,,0,152.0,2,1.33,47,10,2.10,153,1,110,12,61,a,5,0.26,0,0,0.1,1.51,2.9,101,236,,342
139,Tariq Lamptey,40,DEF,Brighton,,,1,117,0,0.64,323,598,46,30,250,0.04,0.13,284,91,20.6,180,Lamptey,124,0,0.21,70.6,87.2,1.44,1.5,0.0,,439,16,6.37,,5.8,0.20,0,,0,48.0,0,1.31,23,7,0.84,355,0,103,3,127,a,1,0.17,0,0,8.2,0.62,1.1,83,314,,65
140,Solly March,65,MID,Brighton,,2.0,2,9,0,5.90,24,43,112,241,11,0.23,0.2,17,559,271.4,26,March,10,0,0.33,791.8,965.8,1.32,2.8,0.0,2.0,2719,41,37.58,,22.6,7.01,16,,0,955.0,6,1.24,147,40,12.91,19,10,8,31,9,a,10,0.43,0,0,2.6,1.03,4.5,9,12,,589
141,Tom McGill,40,GKP,Brighton,,,0,49,0,0.00,427,588,329,29,418,0.0,0.0,402,0,0.0,58,McGill,49,0,0.0,0.0,0.0,0.0,1.5,0.0,,0,53,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,436,0,30,0,49,a,0,0.0,0,0,0.2,0.0,0.0,39,430,,55
142,James Milner,50,MID,Brighton,,,2,110,0,1.63,258,149,333,78,141,0.04,0.17,228,187,49.5,94,Milner,114,0,0.3,179.6,222.7,1.21,2.1,0.0,,889,103,13.56,,8.4,0.40,0,,0,93.0,0,1.37,42,12,2.03,333,1,123,7,146,a,3,0.21,0,0,0.2,0.71,1.4,94,231,,340
143,Kaoru Mitoma,65,MID,Brighton,,,0,22,0,4.93,81,54,5,248,42,0.32,0.19,24,457,200.4,33,Mitoma,38,0,0.31,569.6,569.4,1.36,2.8,0.0,,2311,3,35.52,,21.2,8.29,11,,0,867.0,7,1.38,138,35,13.22,36,9,15,24,17,a,8,0.51,0,0,39.4,0.93,4.2,35,30,,600
144,Jakub Moder,45,MID,Brighton,,,0,200,0,0.00,520,447,477,26,520,0.0,0.0,511,0,0.0,222,Moder,199,0,0.0,0.0,0.0,0.0,1.5,0.0,,0,163,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,527,0,198,0,204,a,0,0.0,0,0,0.1,0.0,0.0,202,523,,253
146,Jeremy Sarmiento Morante,45,MID,Brighton,Joined West Bromwich Albion on a season-long loan,,1,153,0,0.27,344,473,534,38,301,0.18,0.14,282,40,12.9,234,Sarmiento,154,0,0.54,46.6,38.2,1.07,0.0,0.0,,168,199,2.76,2023-07-26T11:28:45.117167Z,3.6,0.33,0,0.0,0,50.0,0,1.48,16,2,0.60,283,2,143,1,118,u,1,0.32,0,0,0.0,0.54,1.8,154,332,,279
147,Kjell Scherpen,40,GKP,Brighton,Joined Sturm Graz on a season-long loan,,0,56,0,0.00,438,603,640,37,430,0.0,0.0,415,0,0.0,66,Scherpen,56,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,73,0.00,2023-07-06T16:30:02.985300Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,447,0,38,0,56,u,0,0.0,0,0,0.0,0.0,0.0,47,441,,70
148,Jason Steele,45,GKP,Brighton,,,1,17,0,0.15,162,311,61,47,338,0.0,0.01,454,332,39.1,14,Steele,17,37,0.4,377.6,13.0,1.53,2.8,2.47,,1350,12,23.46,,14.4,0.00,8,,1,0.0,0,1.56,65,23,0.15,26,1,48,15,6,a,6,0.01,0,1,6.4,1.0,4.3,6,267,,117
149,Deniz Undav,55,FWD,Brighton,Season long loan to Stuttgart,,2,23,0,1.25,249,141,418,51,203,0.72,0.18,91,173,69.1,37,Undav,24,0,0.29,196.4,124.0,1.32,0.0,0.0,,614,62,9.03,2023-08-04T09:40:56.708875Z,9.5,4.89,4,0.0,1,372.0,5,1.32,52,9,6.14,212,2,24,6,23,u,2,0.9,0,0,0.1,0.88,2.4,24,187,,554
150,Jan Paul van Hecke,40,DEF,Brighton,,,2,126,0,0.04,322,624,173,52,345,0.17,0.01,330,54,8.8,202,Van Hecke,123,0,0.0,71.4,5.8,2.16,1.5,0.0,,291,58,6.72,,1.5,0.55,0,,0,10.0,0,2.08,6,7,0.59,396,0,127,3,138,a,0,0.18,0,0,1.0,0.93,0.8,128,342,,91
151,Joël Veltman,45,DEF,Brighton,,,6,41,0,1.02,143,347,148,94,151,0.07,0.04,168,447,77.4,65,Veltman,51,0,0.41,407.2,201.3,1.2,2.5,0.0,,2183,52,27.53,,21.1,1.72,6,,0,162.0,1,1.13,95,29,2.74,125,1,30,25,37,a,10,0.11,0,0,1.3,1.03,3.1,37,160,,153
152,Bart Verbruggen,45,GKP,Brighton,,,0,71,0,0.00,553,506,218,62,551,0.0,0.0,547,0,0.0,29,Verbruggen,71,0,0.0,0.0,0.0,0.0,2.8,0.0,,0,34,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,557,0,63,0,71,a,0,0.0,0,0,0.6,0.0,0.0,68,555,,312
153,Adam Webster,45,DEF,Brighton,,,2,67,0,0.45,171,345,242,93,229,0.08,0.02,195,405,59.2,64,Webster,63,0,0.41,361.8,104.3,1.23,2.5,0.0,,1983,84,25.80,,16.7,1.72,3,,1,126.0,0,1.17,75,27,2.17,164,0,49,23,57,a,9,0.1,0,0,0.5,1.04,2.8,72,207,,151
154,Danny Welbeck,60,FWD,Brighton,,,0,10,0,1.65,161,57,117,56,82,0.42,0.08,26,296,155.4,20,Welbeck,14,0,0.29,378.2,390.6,1.37,2.6,0.0,,1844,22,26.45,,15.2,8.59,5,,0,782.0,6,1.29,91,28,10.24,158,5,10,21,17,a,6,0.5,0,0,2.4,1.02,2.9,5,59,3.0,562
155,Andi Zeqiri,45,FWD,Brighton,,,0,47,0,0.00,499,399,160,4,499,0.0,0.0,489,0,0.0,64,Zeqiri,45,0,0.0,0.0,0.0,0.0,1.5,0.0,,0,32,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,507,0,47,0,47,a,0,0.0,0,0,1.2,0.0,0.0,45,502,,205
606,Igor Julio dos Santos de Paulo,45,DEF,Brighton,,,0,200,0,0.00,508,426,400,146,508,0.0,0.0,499,0,0.0,117,Igor,200,0,0.0,0.0,0.0,0.0,2.5,0.0,,0,152,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,515,0,198,0,200,a,0,0.0,0,0,0.2,0.0,0.0,200,511,,232
621,Jack Hinshelwood,45,MID,Brighton,,,0,180,0,0.00,383,524,636,71,563,0.0,0.0,354,3,0.4,267,Hinshelwood,178,0,0.0,2.0,0.0,0.0,1.5,0.0,,1,269,0.23,,0.2,0.00,0,,0,2.0,0,20.7,1,0,0.00,384,0,178,0,179,a,0,0.0,0,0,0.0,0.0,1.0,229,389,,330
156,Enock Agyei,45,MID,Burnley,,,0,233,0,0.00,573,532,338,76,570,0.0,0.0,565,0,0.0,272,Agyei,233,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,104,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,575,0,232,0,234,a,0,0.0,0,0,0.2,0.0,0.0,233,574,,338
157,Ameen Al-Dakhil,40,DEF,Burnley,,,0,180,0,0.00,463,633,227,59,457,0.0,0.0,442,0,0.0,209,Al-Dakhil,180,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,78,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,472,0,178,0,181,a,0,0.0,0,0,0.5,0.0,0.0,180,466,,100
158,Samuel Bastien,50,MID,Burnley,,,0,252,0,0.00,594,224,556,131,593,0.0,0.0,591,0,0.0,147,Bastien,252,0,0.0,0.0,0.0,0.0,0.1,0.0,,0,215,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,595,0,252,0,252,a,0,0.0,0,0,0.0,0.0,0.0,252,595,,415
159,Manuel Benson Hedilazio,55,MID,Burnley,,3.0,0,269,0,0.00,627,111,320,199,627,0.0,0.0,627,0,0.0,68,Benson,269,0,0.0,0.0,0.0,0.0,0.6,0.0,,0,97,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,627,0,269,0,269,a,0,0.0,0,0,0.2,0.0,0.0,269,627,,524
160,Jordan Beyer,40,DEF,Burnley,,,0,159,0,0.00,439,604,70,34,431,0.0,0.0,416,0,0.0,184,Beyer,159,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,24,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,448,0,156,0,160,a,0,0.0,0,0,5.3,0.0,0.0,158,442,,71
161,Josh Brownhill,50,MID,Burnley,,1.0,0,250,0,0.00,590,214,259,124,589,0.0,0.0,587,0,0.0,140,Brownhill,250,0,0.0,0.0,0.0,0.0,0.1,0.0,3.0,0,83,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,591,0,250,0,250,a,0,0.0,0,0,0.4,0.0,0.0,250,591,,405
162,Darko Churlinov,45,MID,Burnley,,,0,205,0,0.00,528,458,538,32,527,0.0,0.0,519,0,0.0,228,Churlinov,204,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,202,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,534,0,203,0,208,a,0,0.0,0,0,0.0,0.0,0.0,206,531,,264
163,Jack Cork,50,MID,Burnley,,,0,235,0,0.00,575,152,553,80,573,0.0,0.0,568,0,0.0,96,Cork,235,0,0.0,0.0,0.0,0.0,0.1,0.0,,0,212,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,577,0,234,0,236,a,0,0.0,0,0,0.0,0.0,0.0,235,576,,343
164,Dara Costelloe,45,MID,Burnley,,,0,228,0,0.00,565,523,546,70,562,0.0,0.0,558,0,0.0,266,Costelloe,228,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,208,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,568,0,228,0,230,a,0,0.0,0,0,0.0,0.0,0.0,228,566,,329
165,Josh Cullen,50,MID,Burnley,,,0,249,0,0.00,589,213,527,123,588,0.0,0.0,586,0,0.0,139,Cullen,249,0,0.0,0.0,0.0,0.0,0.1,0.0,,0,193,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,590,0,249,0,249,a,0,0.0,0,0,0.1,0.0,0.0,249,590,,404
166,CJ Egan-Riley,40,DEF,Burnley,,,0,163,0,0.00,444,610,368,39,436,0.0,0.0,421,0,0.0,189,Egan-Riley,163,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,139,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,453,0,160,0,164,a,0,0.0,0,0,0.2,0.0,0.0,162,447,,77
167,Hjalmar Ekdal,40,DEF,Burnley,,,0,176,0,0.00,459,628,295,55,452,0.0,0.0,437,0,0.0,205,Ekdal,176,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,109,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,468,0,174,0,177,a,0,0.0,0,0,0.3,0.0,0.0,176,462,,95
168,Lyle Foster,50,FWD,Burnley,,,0,67,0,0.00,614,272,342,36,614,0.0,0.0,611,0,0.0,56,Foster,67,0,0.0,0.0,0.0,0.0,-0.1,0.0,,0,55,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,614,0,67,0,67,a,0,0.0,0,0,0.2,0.0,0.0,67,614,,463
169,Denis Franchi,40,GKP,Burnley,,,0,60,0,0.00,464,634,364,42,458,0.0,0.0,443,0,0.0,71,Franchi,60,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,55,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,473,0,43,0,60,a,0,0.0,0,0,0.2,0.0,0.0,52,467,,101
170,Jóhann Berg Gudmundsson,50,MID,Burnley,,2.0,0,238,0,0.00,578,162,526,86,576,0.0,0.0,571,0,0.0,102,Gudmundsson,238,0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0,192,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,580,0,237,0,239,a,0,0.0,0,0,0.1,0.0,0.0,238,579,,353
171,Luke McNally,40,DEF,Burnley,Season long loan to Stoke City,,0,179,0,0.00,462,631,519,58,455,0.0,0.0,440,0,0.0,208,McNally,179,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,195,0.00,2023-08-04T09:35:51.951556Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,471,0,177,0,180,u,0,0.0,0,0,0.1,0.0,0.0,179,465,,98
172,Arijanet Muric,45,GKP,Burnley,,,0,69,0,0.00,515,438,265,60,515,0.0,0.0,506,0,0.0,27,Muric,69,0,0.0,0.0,0.0,0.0,0.8,0.0,,0,41,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,522,0,61,0,69,a,0,0.0,0,0,0.4,0.0,0.0,66,518,,244
173,Dara O'Shea,45,DEF,Burnley,,,0,198,0,0.00,503,413,365,138,503,0.0,0.0,494,0,0.0,109,O'Shea,198,0,0.0,0.0,0.0,0.0,0.5,0.0,,0,137,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,511,0,196,0,198,a,0,0.0,0,0,0.2,0.0,0.0,198,506,,219
174,Michael Obafemi,50,FWD,Burnley,Hamstring injury - Unknown return date,,0,63,0,0.00,605,248,459,28,604,0.0,0.0,602,0,0.0,48,Obafemi,62,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,67,0.00,2023-08-06T23:30:05.563053Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,606,0,63,0,63,i,0,0.0,0,0,0.1,0.0,0.0,62,606,,439
175,Bailey Peacock-Farrell,40,GKP,Burnley,Joined Aarhus on loan,,0,52,0,0.00,432,593,551,32,423,0.0,0.0,407,0,0.0,61,Peacock-Farrell,52,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,66,0.00,2023-07-26T11:25:50.410533Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,441,0,33,0,52,u,0,0.0,0,0,0.0,0.0,0.0,42,435,,60
176,Connor Roberts,45,DEF,Burnley,,,0,193,0,0.00,495,387,276,118,495,0.0,0.0,485,0,0.0,89,Roberts,193,0,0.0,0.0,0.0,0.0,0.5,0.0,,0,97,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,503,0,191,0,193,a,0,0.0,0,0,0.3,0.0,0.0,193,498,,193
177,Jay Rodriguez,55,FWD,Burnley,,,0,69,0,0.00,624,81,311,41,624,0.0,0.0,621,0,0.0,27,Rodriguez,69,0,0.0,0.0,0.0,0.0,0.3,0.0,,0,53,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,624,0,69,0,69,a,0,0.0,0,0,0.2,0.0,0.0,69,624,1.0,494
178,Charlie Taylor,40,DEF,Burnley,,,0,141,0,0.00,402,554,169,7,390,0.0,0.0,372,0,0.0,157,Taylor,141,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,57,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,411,0,135,0,142,a,0,0.0,0,0,1.1,0.0,0.0,140,405,,21
179,Bobby Thomas,40,DEF,Burnley,Permanent transfer to Coventry,,0,171,0,0.00,453,621,537,49,446,0.0,0.0,431,0,0.0,199,Thomas,171,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,197,0.00,2023-07-24T09:55:44.165399Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,462,0,169,0,172,u,0,0.0,0,0,0.0,0.0,0.0,171,456,,88
180,Scott Twine,50,MID,Burnley,,,0,261,0,0.00,609,254,543,148,609,0.0,0.0,607,0,0.0,164,Twine,261,0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0,206,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,610,0,261,0,261,a,0,0.0,0,0,0.0,0.0,0.0,261,610,,445
181,Lawrence Vigouroux,40,GKP,Burnley,,,0,42,0,0.00,412,567,294,20,401,0.0,0.0,384,0,0.0,49,Vigouroux,42,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,47,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,421,0,21,0,42,a,0,0.0,0,0,0.3,0.0,0.0,30,415,,34
182,Victor da Silva,45,DEF,Burnley,,,0,208,0,0.00,536,474,396,167,535,0.0,0.0,528,0,0.0,138,Vitinho,208,0,0.0,0.0,0.0,0.0,0.5,0.0,,0,150,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,541,0,207,0,208,a,0,0.0,0,0,0.2,0.0,0.0,208,538,,280
183,Wout Weghorst,55,FWD,Burnley,On loan to Hoffenheim,,1,32,0,1.16,302,92,251,43,161,0.23,0.13,185,56,42.4,29,Weghorst,31,0,0.46,97.6,183.7,1.25,0.0,0.0,,790,46,14.60,2023-08-10T13:52:51.426276Z,4.4,2.02,0,0.0,0,144.0,0,1.66,24,11,3.18,339,1,34,10,38,u,4,0.36,0,0,0.4,1.14,1.4,18,257,,505
184,Anass Zaroury,50,MID,Burnley,,,0,265,0,0.00,619,294,385,174,619,0.0,0.0,616,0,0.0,190,Zaroury,265,0,0.0,0.0,0.0,0.0,0.1,0.0,,0,125,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,619,0,265,0,265,a,0,0.0,0,0,0.2,0.0,0.0,265,619,,485
475,Sander Berge,50,MID,Burnley,,,0,256,0,0.00,600,237,348,139,599,0.0,0.0,597,0,0.0,155,Berge,256,0,0.0,0.0,0.0,0.0,0.1,0.0,,0,110,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,601,0,256,0,256,a,0,0.0,0,0,0.2,0.0,0.0,256,601,,428
594,Zeki Amdouni,55,FWD,Burnley,,,0,75,0,0.00,633,144,420,53,633,0.0,0.0,633,0,0.0,39,Amdouni,75,0,0.0,0.0,0.0,0.0,0.3,0.0,,0,63,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,633,0,75,0,75,a,0,0.0,0,0,0.1,0.0,0.0,75,633,,557
596,James Trafford,45,GKP,Burnley,,,0,70,0,0.00,532,463,171,61,531,0.0,0.0,523,0,0.0,28,Trafford,70,0,0.0,0.0,0.0,0.0,0.8,0.0,,0,23,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,538,0,62,0,70,a,0,0.0,0,0,1.0,0.0,0.0,67,535,,269
600,Nathan Redmond,50,MID,Burnley,,,0,241,0,0.00,581,170,518,92,579,0.0,0.0,574,3,0.0,108,Redmond,241,0,0.0,0.0,0.0,0.0,0.1,0.0,,1,186,0.02,,0.2,0.00,0,,0,0.0,0,1.8,1,0,0.00,386,0,240,0,181,a,0,0.0,0,0,0.1,0.0,1.0,241,582,,361
605,Luca Koleosho,50,MID,Burnley,,,0,263,0,0.00,617,291,608,171,617,0.0,0.0,614,0,0.0,187,Koleosho,263,0,0.0,0.0,0.0,0.0,0.1,0.0,,0,251,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,617,0,263,0,263,a,0,0.0,0,0,0.0,0.0,0.0,263,617,,482
608,Jacob Bruun Larsen,50,MID,Burnley,,,0,251,0,0.00,592,218,599,126,591,0.0,0.0,589,0,0.0,142,Bruun Larsen,251,0,0.0,0.0,0.0,0.0,0.1,0.0,,0,244,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,593,0,251,0,251,a,0,0.0,0,0,0.0,0.0,0.0,251,593,,409
622,Owen Dodgson,40,DEF,Burnley,,,0,172,0,0.00,454,622,622,50,447,0.0,0.0,432,0,0.0,200,Dodgson,172,0,0.0,0.0,0.0,0.0,-0.5,0.0,,0,211,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,463,0,170,0,173,a,0,0.0,0,0,0.0,0.0,0.0,172,457,,89
145,Robert Sánchez,45,GKP,Chelsea,,,2,16,0,0.01,124,409,93,58,372,0.0,0.0,492,380,43.9,25,Sanchez,16,48,0.26,439.0,0.1,1.3,1.8,2.09,,2070,14,27.60,,18.2,0.00,10,,0,0.0,0,1.2,82,30,0.01,80,0,59,23,15,a,6,0.0,0,1,3.4,1.0,3.6,9,251,,215
185,Ethan Ampadu,40,DEF,Chelsea,Permanent transfer to Leeds Utd,,0,151,0,0.00,422,582,574,23,412,0.0,0.0,396,0,0.0,173,Ampadu,151,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,203,0.00,2023-07-20T08:39:43.633400Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,431,0,147,0,152,u,0,0.0,0,0,0.0,0.0,0.0,150,425,,49
186,Andrey Nascimento dos Santos,45,MID,Chelsea,,,0,229,0,0.00,566,525,383,72,564,0.0,0.0,559,0,0.0,268,Andrey,229,0,0.0,0.0,0.0,0.0,0.5,0.0,,0,124,0.00,,0.0,0.00,0,,0,0.0,0,0.0,0,0,0.00,569,0,229,0,231,a,0,0.0,0,0,0.2,0.0,0.0,230,567,,331
187,Kepa Arrizabalaga,50,GKP,Chelsea,,,1,9,0,0.00,34,186,147,65,373,0.0,0.0,579,575,73.3,6,Arrizabalaga,9,91,0.32,733.4,0.1,1.16,2.7,3.19,,2565,18,38.34,,23.6,0.00,15,,0,0.0,0,1.35,118,33,0.00,40,0,66,29,8,a,9,0.0,0,0,1.3,1.02,4.1,10,174,,377
188,Pierre-Emerick Aubameyang,65,FWD,Chelsea,,,1,34,0,0.18,336,40,503,63,279,0.25,0.03,163,61,28.5,15,Aubameyang,36,0,0.16,55.0,59.4,1.32,0.0,0.0,,546,73,8.66,2023-07-24T09:59:36.133419Z,3.8,1.53,3,0.0,0,177.0,1,1.43,25,8,1.71,300,0,32,5,33,u,1,0.28,0,0,0.1,0.82,1.7,34,296,,586
189,César Azpilicueta,45,DEF,Chelsea,Left the club as a free agent,,3,70,0,1.25,212,308,632,68,145,0.02,0.07,221,242,58.4,39,Azpilicueta,79,0,0.18,272.0,211.2,1.24,0.0,0.0,,1521,214,27.38,2023-07-06T16:30:03.010661Z,10.0,0.35,4,0.0,1,102.0,0,1.62,45,21,1.60,279,0,66,16,104,u,3,0.09,0,0,0.0,0.95,1.8,35,211,,114
190,Abdul Rahman Baba,40,DEF,Chelsea,Permanent Transfer to PAOK,,0,145,0,0.00,409,563,619,12,398,0.0,0.0,380,0,0.0,162,Baba,145,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,210,0.00,2023-07-13T08:07:47.494096Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,418,0,139,0,146,u,0,0.0,0,0,0.0,0.0,0.0,144,412,,30
191,Benoît Badiashile,45,DEF,Chelsea,Hamstring injury - Unknown return date,,2,99,0,0.20,235,446,441,158,288,0.13,0.02,241,209,35.1,129,B.Badiashile,92,0,0.4,219.8,49.1,0.9,0.0,0.0,,904,166,12.31,2023-08-03T10:30:04.564668Z,8.9,1.26,2,0.0,0,81.0,1,1.23,40,9,1.46,82,0,80,10,21,i,4,0.15,0,0,0.1,1.0,3.6,103,275,,252
192,Marcus Bettinelli,40,GKP,Chelsea,Unknown - Unknown return date,,0,41,0,0.00,410,565,560,19,399,0.0,0.0,382,0,0.0,48,Bettinelli,41,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,67,0.00,2023-08-03T10:30:04.581002Z,0.0,0.00,0,0.0,0,0.0,0,0.0,0,0,0.00,419,0,20,0,41,i,0,0.0,0,0,0.0,0.0,0.0,29,413,,32
193,Armando Broja,50,FWD,Chelsea,Knee injury - Unknown return date,,0,35,0,0.06,330,277,448,37,324,0.27,0.02,212,56,19.7,57,Broja,34,0,0.32,64.6,18.2,1.58,0.0,0.0,,285,65,4.49,2023-08-03T10:30:04.596081Z,4.2,0.84,0,0.0,0,113.0,1,1.42,21,5,0.90,289,1,35,2,32,i,1,0.29,0,0,0.1,0.63,1.8,38,315,,468
194,Trevoh Chalobah,45,DEF,Chelsea,,,4,79,0,0.32,193,381,283,114,242,0.05,0.02,215,318,50.3,85,Chalobah,69,0,0.28,294.6,94.0,1.35,1.5,0.0,,1601,102,30.99,,10.9,0.82,1,,1,112.0,0,1.74,49,24,1.14,255,0,62,18,98,a,5,0.07,0,0,0.3,1.01,2.0,77,229,,187
195,Ben Chilwell,55,DEF,Chelsea,,1.0,3,33,0,2.49,203,108,34,207,84,0.1,0.16,162,302,84.2,9,Chilwell,74,0,0.26,283.4,382.6,1.22,2.1,0.0,,1402,12,18.25,,12.7,1.57,4,,0,178.0,2,1.17,70,19,4.06,141,3,27,15,46,a,4,0.26,0,0,12.5,0.96,3.0,15,144,,521
196,Carney Chukwuemeka,45,MID,Chelsea,,,0,141,0,0.61,329,494,101,50,218,0.09,0.16,246,71,25.7,246,Chukwuemeka,146,0,0.26,66.0,113.5,1.84,0.5,0.0,,342,36,8.10,,4.0,0.33,0,,0,78.0,0,2.13,18,7,0.94,345,0,128,2,153,a,1,0.25,0,0,3.0,0.53,1.3,127,305,,300
197,Levi Colwill,45,DEF,Chelsea,,,1,94,0,0.31,225,481,98,170,234,0.1,0.02,283,249,38.9,141,Colwill,83,0,0.22,236.2,101.9,1.55,1.5,0.0,,1218,30,22.20,,10.2,1.41,6,,0,50.0,0,1.64,46,21,1.72,176,2,102,13,64,a,3,0.12,0,0,3.1,0.96,2.7,75,268,,287
